SCHOOL,SCHOOL NAME,ATTD DATE,%ATTD
07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,9/17/2021,81.74
07X298,ACADEMY OF PUBLIC RELATIONS,9/17/2021,81.06
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,9/17/2021,73.77
07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,9/17/2021,85.90
07X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,9/17/2021,88.07
07X369,YOUNG LEADERS ELEMENTARY SCHOOL,9/17/2021,80.45
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,9/17/2021,53.54
07X381,BRONX HAVEN HIGH SCHOOL,9/17/2021,43.29
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,9/17/2021,69.32
07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,9/17/2021,69.52
07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,9/17/2021,90.84
07X500,HOSTOS LINCOLN ACADEMY OF SCIENCE,9/17/2021,83.53
07X522,BRONX DESIGN AND CONSTRUCTION ACADEMY,9/17/2021,68.84
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,9/17/2021,69.78
07X533,LEARNING THROUGH PLAY PRE K CENTER,9/17/2021,86.06
07X548,CAREERS IN SPORTS HIGH SCHOOL,9/17/2021,72.46
07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,9/17/2021,77.21
07X557,MOTT HAVEN COMMUNITY HIGH SCHOOL,9/17/2021,47.93
07X584,I.S. 584,9/17/2021,73.45
07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIG,9/17/2021,78.52
07X625,WALKABOUT BRONX HIGH SCHOOL,9/17/2021,80.83
07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,9/17/2021,69.56
08X014,P.S. X014 SENATOR JOHN CALANDRA,9/17/2021,84.36
08X036,P.S. 036 UNIONPORT,9/17/2021,86.80
08X048,P.S. 048 JOSEPH R. DRAKE,9/17/2021,73.16
08X062,P.S. 062 INOCENSIO CASANOVA,9/17/2021,84.49
08X069,P.S. 069 JOURNEY PREP SCHOOL,9/17/2021,82.16
08X071,P.S. 071 ROSE E. SCALA,9/17/2021,86.37
08X072,P.S. 072 DR. WILLIAM DORNEY,9/17/2021,81.55
08X075,P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY,9/17/2021,78.80
08X093,P.S. 093 ALBERT G. OLIVER,9/17/2021,71.32
08X100,P.S. 100 ISAAC CLASON,9/17/2021,77.11
08X101,M.S. X101 EDWARD R. BYRNE,9/17/2021,86.09
08X107,P.S. 107,9/17/2021,73.00
08X119,THE DR. EMMETT W. BASSETT SCHOOL,9/17/2021,85.34
08X123,J.H.S. 123 JAMES M. KIERAN,9/17/2021,84.20
08X130,P.S. 130 ABRAM STEVENS HEWITT,9/17/2021,81.36
08X131,J.H.S. 131 ALBERT EINSTEIN,9/17/2021,78.59
08X138,P.S. 138 SAMUEL RANDALL,9/17/2021,82.64
08X140,P.S. X140 THE EAGLE SCHOOL,9/17/2021,85.25
08X146,P.S. 146 EDWARD COLLINS,9/17/2021,82.85
08X152,P.S. 152 EVERGREEN,9/17/2021,80.30
08X182,P.S. 182,9/17/2021,77.70
08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,9/17/2021,85.71
08X282,WOMEN S ACADEMY OF EXCELLENCE,9/17/2021,72.63
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND TH,9/17/2021,55.07
08X301,M.S. 301 PAUL L. DUNBAR,9/17/2021,83.61
08X302,M.S. 302 LUISA DESSUS CRUZ,9/17/2021,79.90
08X304,P.S. 304 EARLY CHILDHOOD SCHOOL,9/17/2021,86.52
08X312,MILLENNIUM ART ACADEMY,9/17/2021,73.84
